,Year,Gdp
600,600,1225
601,601,1225
602,602,1225
603,603,1225
604,604,1225
605,605,1225
606,606,1225
607,607,1225
608,608,1225
609,609,1225
610,610,1225
611,611,1225
612,612,1225
613,613,1225
614,614,1225
615,615,1225
616,616,1225
617,617,1225
618,618,1225
619,619,1225
620,620,1225
621,621,1225
622,622,1225
623,623,1225
624,624,1225
625,625,1225
626,626,1225
627,627,1225
628,628,1225
629,629,1225
630,630,1225
631,631,1225
632,632,1225
633,633,1225
634,634,1225
635,635,1225
636,636,1225
637,637,1225
638,638,1225
639,639,1225
640,640,1225
641,641,1225
642,642,1225
643,643,1225
644,644,1225
645,645,1225
646,646,1225
647,647,1225
648,648,1225
649,649,1225
650,650,1225
651,651,1225
652,652,1225
653,653,1225
654,654,1225
655,655,1225
656,656,1225
657,657,1225
658,658,1225
659,659,1225
660,660,1225
661,661,1225
662,662,1225
663,663,1225
664,664,1225
665,665,1225
666,666,1225
667,667,1225
668,668,1225
669,669,1225
670,670,1225
671,671,1225
672,672,1225
673,673,1225
674,674,1225
675,675,1225
676,676,1225
677,677,1225
678,678,1225
679,679,1225
680,680,1225
681,681,1225
682,682,1225
683,683,1225
684,684,1225
685,685,1225
686,686,1225
687,687,1225
688,688,1225
689,689,1225
690,690,1225
691,691,1225
692,692,1225
693,693,1225
694,694,1225
695,695,1225
696,696,1225
697,697,1225
698,698,1225
699,699,1225
700,700,1225
701,701,1225
702,702,1225
703,703,1225
704,704,1225
705,705,1225
706,706,1225
707,707,1225
708,708,1225
709,709,1225
710,710,1225
711,711,1225
712,712,1225
713,713,1225
714,714,1225
715,715,1225
716,716,1225
717,717,1225
718,718,1225
719,719,1225
720,720,1225
721,721,1225
722,722,1225
723,723,1225
724,724,1225
725,725,1225
726,726,1225
727,727,1225
728,728,1225
729,729,1225
730,730,1225
731,731,1225
732,732,1225
733,733,1225
734,734,1225
735,735,1225
736,736,1225
737,737,1225
738,738,1225
739,739,1225
740,740,1225
741,741,1225
742,742,1225
743,743,1225
744,744,1225
745,745,1225
746,746,1225
